Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2020-03-12 08:00:00.000,0.02252800,0.02339400,0.02152200,0.02241000,518353.68000000,2020-03-12 19:59:59.999,11737.60382682,255232,259734.66600000,5882.79075190
2020-03-12 20:00:00.000,0.02241100,0.02536900,0.02180300,0.02362800,808628.60700000,2020-03-13 07:59:59.999,18952.90965048,425375,404128.41200000,9493.49719242
2020-03-13 08:00:00.000,0.02365100,0.02413500,0.02301100,0.02404800,588328.50800000,2020-03-13 19:59:59.999,13899.21646119,201438,297151.37100000,7025.41720162
2020-03-13 20:00:00.000,0.02405700,0.02443400,0.02361700,0.02362600,233450.14800000,2020-03-14 07:59:59.999,5607.11286292,101757,111527.48900000,2680.42632112
2020-03-14 08:00:00.000,0.02362600,0.02395000,0.02346900,0.02367000,142839.92900000,2020-03-14 19:59:59.999,3390.06733388,78194,71511.65500000,1697.90483822
2020-03-14 20:00:00.000,0.02367100,0.02382200,0.02306500,0.02322300,142497.71200000,2020-03-15 07:59:59.999,3328.42751566,71410,68327.34600000,1596.19203955
2020-03-15 08:00:00.000,0.02321700,0.02362900,0.02221400,0.02308700,187290.07900000,2020-03-15 19:59:59.999,4327.47845053,94279,97394.63900000,2251.79161789
2020-03-15 20:00:00.000,0.02308400,0.02330000,0.02201500,0.02278800,338072.08500000,2020-03-16 07:59:59.999,7676.44736395,147520,165900.66000000,3767.50670406
2020-03-16 08:00:00.000,0.02278400,0.02286900,0.02180400,0.02207600,238124.09000000,2020-03-16 19:59:59.999,5340.20661872,113940,114043.07000000,2559.15642224
2020-03-16 20:00:00.000,0.02207600,0.02257000,0.02196800,0.02201700,147698.13200000,2020-03-17 07:59:59.999,3271.35489182,71649,75594.97100000,1674.67535764
2020-03-17 08:00:00.000,0.02202200,0.02226100,0.02155600,0.02177100,124381.13200000,2020-03-17 19:59:59.999,2732.06534617,58728,61999.92600000,1361.58798493
2020-03-17 20:00:00.000,0.02177100,0.02203000,0.02168000,0.02193900,142092.38900000,2020-03-18 07:59:59.999,3104.57103511,55866,81848.40700000,1788.37354869
2020-03-18 08:00:00.000,0.02194000,0.02198900,0.02159900,0.02189000,207347.72400000,2020-03-18 19:59:59.999,4519.19271313,69206,99998.11900000,2179.29997235
2020-03-18 20:00:00.000,0.02189300,0.02222000,0.02180800,0.02203800,200357.17600000,2020-03-19 07:59:59.999,4412.69483273,87823,97930.18100000,2157.96949856
2020-03-19 08:00:00.000,0.02203800,0.02235300,0.02156300,0.02212400,305018.96800000,2020-03-19 19:59:59.999,6705.11263351,131685,154981.27100000,3410.29714241
2020-03-19 20:00:00.000,0.02212000,0.02277000,0.02171000,0.02187300,256761.69700000,2020-03-20 07:59:59.999,5676.73940889,120440,114683.43400000,2537.83838762
2020-03-20 08:00:00.000,0.02187300,0.02192200,0.02042700,0.02149800,231864.57000000,2020-03-20 19:59:59.999,4946.23965949,148314,112239.08700000,2395.33141431
2020-03-20 20:00:00.000,0.02149700,0.02157400,0.02111100,0.02134500,104691.35600000,2020-03-21 07:59:59.999,2241.18729189,63932,52749.23700000,1129.59757668
